,date,tic,open,high,low,close,volume,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,turbulence,vix
0,2018-01-02,1216.TW,66.0,67.19999694824219,65.69999694824219,48.09949493408203,6245001.0,1,0.0,48.51053268976586,47.903186487480234,50.0,0.0,0.0,48.09949493408203,48.09949493408203,0.0,9.770000457763672
0,2018-01-02,1301.TW,98.5999984741211,98.5999984741211,97.19999694824219,70.0865478515625,5407964.0,1,0.0,48.51053268976586,47.903186487480234,50.0,0.0,0.0,70.0865478515625,70.0865478515625,0.0,9.770000457763672
0,2018-01-02,1303.TW,78.0,78.0,76.4000015258789,53.51679992675781,5700892.0,1,0.0,48.51053268976586,47.903186487480234,50.0,0.0,0.0,53.51679992675781,53.51679992675781,0.0,9.770000457763672
0,2018-01-02,2002.TW,24.75,24.75,24.649999618530273,18.662864685058594,8305886.0,1,0.0,48.51053268976586,47.903186487480234,50.0,0.0,0.0,18.662864685058594,18.662864685058594,0.0,9.770000457763672
0,2018-01-02,2303.TW,14.199999809265137,14.300000190734863,14.149999618530273,9.437776565551758,16608150.0,1,0.0,48.51053268976586,47.903186487480234,50.0,0.0,0.0,9.437776565551758,9.437776565551758,0.0,9.770000457763672
0,2018-01-02,2308.TW,144.0,144.0,140.0,113.77302551269531,4167036.0,1,0.0,48.51053268976586,47.903186487480234,50.0,0.0,0.0,113.77302551269531,113.77302551269531,0.0,9.770000457763672
0,2018-01-02,2317.TW,119.25,119.625,117.875,86.31523895263672,22881852.0,1,0.0,48.51053268976586,47.903186487480234,50.0,0.0,0.0,86.31523895263672,86.31523895263672,0.0,9.770000457763672
0,2018-01-02,2327.TW,77.45240020751953,77.67180633544922,75.03887176513672,52.841609954833984,10464592.0,1,0.0,48.51053268976586,47.903186487480234,50.0,0.0,0.0,52.841609954833984,52.841609954833984,0.0,9.770000457763672
0,2018-01-02,2330.TW,231.5,232.5,231.0,188.90814208984375,18055269.0,1,0.0,48.51053268976586,47.903186487480234,50.0,0.0,0.0,188.90814208984375,188.90814208984375,0.0,9.770000457763672
0,2018-01-02,2345.TW,106.5,112.5,105.0,91.74205017089844,9286572.0,1,0.0,48.51053268976586,47.903186487480234,50.0,0.0,0.0,91.74205017089844,91.74205017089844,0.0,9.770000457763672
0,2018-01-02,2357.TW,279.0,279.0,276.5,162.93829345703125,365552.0,1,0.0,48.51053268976586,47.903186487480234,50.0,0.0,0.0,162.93829345703125,162.93829345703125,0.0,9.770000457763672
0,2018-01-02,2360.TW,163.0,163.5,157.5,128.3743133544922,1955020.0,1,0.0,48.51053268976586,47.903186487480234,50.0,0.0,0.0,128.3743133544922,128.3743133544922,0.0,9.770000457763672
0,2018-01-02,2379.TW,109.0,109.0,108.0,76.67550659179688,255352.0,1,0.0,48.51053268976586,47.903186487480234,50.0,0.0,0.0,76.67550659179688,76.67550659179688,0.0,9.770000457763672
0,2018-01-02,2382.TW,62.0,62.099998474121094,61.5,39.143035888671875,2783538.0,1,0.0,48.51053268976586,47.903186487480234,50.0,0.0,0.0,39.143035888671875,39.143035888671875,0.0,9.770000457763672
0,2018-01-02,2383.TW,102.5,104.0,100.5,80.20381164550781,2321338.0,1,0.0,48.51053268976586,47.903186487480234,50.0,0.0,0.0,80.20381164550781,80.20381164550781,0.0,9.770000457763672
0,2018-01-02,2412.TW,106.0,108.0,105.5,78.71383666992188,11863896.0,1,0.0,48.51053268976586,47.903186487480234,50.0,0.0,0.0,78.71383666992188,78.71383666992188,0.0,9.770000457763672
0,2018-01-02,2454.TW,293.0,293.5,289.0,190.42449951171875,2537800.0,1,0.0,48.51053268976586,47.903186487480234,50.0,0.0,0.0,190.42449951171875,190.42449951171875,0.0,9.770000457763672
0,2018-01-02,2881.TW,38.690731048583984,39.07380676269531,38.61411666870117,27.99066734313965,8148602.0,1,0.0,48.51053268976586,47.903186487480234,50.0,0.0,0.0,27.99066734313965,27.99066734313965,0.0,9.770000457763672
0,2018-01-02,2882.TW,52.336544036865234,53.316627502441406,52.23853302001953,37.289432525634766,16136697.0,1,0.0,48.51053268976586,47.903186487480234,50.0,0.0,0.0,37.289432525634766,37.289432525634766,0.0,9.770000457763672
0,2018-01-02,2884.TW,12.60569953918457,12.60569953918457,12.5390043258667,10.131975173950195,10810204.0,1,0.0,48.51053268976586,47.903186487480234,50.0,0.0,0.0,10.131975173950195,10.131975173950195,0.0,9.770000457763672
0,2018-01-02,2885.TW,12.037288665771484,12.081061363220215,11.99351692199707,8.499856948852539,12712931.0,1,0.0,48.51053268976586,47.903186487480234,50.0,0.0,0.0,8.499856948852539,8.499856948852539,0.0,9.770000457763672
